"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","OID_","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"240","All Fire","14720_61_62_63",0.0060214,"Central Interior and Appalachian Riparian Systems",1463,0.078431,1061204,0.4,6389.9337656
"241","All Fire","14720_61_62_63",0.0060214,"Central Interior and Appalachian Riparian Systems",1450,0.078431,950999,0.3,5726.3453786
"242","All Fire","14720_61_62_63",0.0060214,"Central Interior and Appalachian Riparian Systems",1478,0.078431,899228,0.3,5414.6114792
"243","All Fire","14720_64_65_66",0.0059586,"Central Interior and Appalachian Riparian Systems",1519,0.078431,1070657,0.4,6379.6168002
"244","All Fire","14720_64_65_66",0.0059586,"Central Interior and Appalachian Riparian Systems",1496,0.078431,10845,0,64.621017
"245","All Fire","14730_45_46_47_98_99",0.018745,"Gulf and Atlantic Coastal Plain Floodplain Systems",1120,0.803922,1116,0,20.91942
"246","All Fire","14730_45_46_47_98_99",0.018745,"Gulf and Atlantic Coastal Plain Floodplain Systems",1648,0.803922,207,0,3.880215
"247","All Fire","14730_55_58_60",0.018849,"Gulf and Atlantic Coastal Plain Floodplain Systems",1425,0.803922,13850,0,261.05865
"248","All Fire","14740_46_47_48_55_56_58_60_99",0.014759,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems",1426,0.921569,4047,0,59.729673
"249","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1520,0.960784,957831,0.4,16368.1823928
"250","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1169,0.960784,511258,0.2,8736.7857104
"251","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1464,0.960784,487455,0.2,8330.021004
"252","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1144,0.960784,181405,0.1,3099.993764
"253","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1198,0.960784,258259,0.1,4413.3363992
"254","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1497,0.960784,7317,0,125.0387496
"255","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1555,0.960784,80,0,1.367104
"256","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1170,0.541176,4498421,1.6,43372.8755978
"257","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1145,0.541176,2018444,0.7,19461.4333592
"258","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1199,0.541176,1391795,0.5,13419.409031
"259","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1218,0.541176,583076,0.2,5621.9021768
"260","All Fire","14770_63_64_65_66",0.0068772,"Boreal Acidic Peatland Systems",1465,0.541176,14136,0,97.2160992
"261","All Fire","14770_63_64_65_66",0.0068772,"Boreal Acidic Peatland Systems",1498,0.541176,2842,0,19.5450024
