"","OID_","Value","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",17,64,333765227,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,74227600,27.2
"2",40,118,70325698,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,15640059,5.7
"3",12,25,64288047,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,14297318,5.2
"4",97,303,57030568,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,12683293,4.6
"5",39,117,50854760,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,11309826,4.1
"6",41,119,50254347,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,11176298,4.1
"7",38,116,48137929,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,10705618,3.9
"8",42,120,44760075,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,9954401,3.6
"9",37,115,40558773,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,9020054,3.3
"10",43,121,39693642,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,8827653,3.2
"11",2,11,36475412,"Open Water",0,0,255,0,0,1,8111936,3
"12",104,310,36923853,"Herb Height >= 1 meter",255,51,0,1,0.2,0,8211667,3
"13",44,122,32276580,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,7178139,2.6
"14",36,114,29557788,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,6573494,2.4
"15",18,65,24262648,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,5395883,2
"16",9,22,21007051,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,4671856,1.7
"17",45,123,21061077,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,4683871,1.7
"18",102,308,20449116,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,4547774,1.7
"19",35,113,19837191,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,4411685,1.6
"20",103,309,14381823,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,3198440,1.2
"21",46,124,13901862,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,3091700,1.1
"22",7,16,12536302,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,2788006,1
"23",19,68,11921137,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,2651197,1
"24",34,112,12862970,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,2860656,1
"25",4,13,10713321,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,2382585,0.9
"26",10,23,11520453,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,2562087,0.9
"27",101,307,10482256,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,2331198,0.9
"28",33,111,8262102,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,1837447,0.7
"29",100,306,6999793,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,1556716,0.6
"30",8,17,5582732,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,1241570,0.5
"31",11,24,6260411,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,1392282,0.5
"32",32,110,5811121,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,1292362,0.5
"33",47,125,5866084,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,1304586,0.5
"34",98,304,6511395,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,1448099,0.5
"35",6,15,4311846,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,958931,0.4
"36",30,108,4979651,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,1107448,0.4
"37",99,305,5427489,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,1207044,0.4
"38",31,109,3721835,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,827716,0.3
"39",5,14,2120159,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,471512,0.2
"40",16,63,2165238,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,481537,0.2
"41",48,126,2615357,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,581641,0.2
"42",14,32,737563,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,164030,0.1
"43",28,106,954582,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,212294,0.1
"44",29,107,1693026,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,376520,0.1
"45",49,127,857236,"Tree Height = 27 meters",76,153,47,0.298039,0.6,0.184314,190645,0.1
"46",78,214,637507,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,141778,0.1
"47",79,215,792048,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,176147,0.1
"48",80,216,913911,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,203249,0.1
"49",81,217,774433,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,172230,0.1
"50",82,218,877796,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,195217,0.1
"51",84,220,673175,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,149711,0.1
"52",94,230,1446604,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,321717,0.1
"53",96,302,1045658,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,232549,0.1
"54",13,31,111267,"Barren",191,191,191,0.74902,0.74902,0.74902,24745,0
"55",15,61,365496,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,81284,0
"56",20,69,2459,"NASS-Aquaculture",210,255,237,0.823529,1,0.929412,547,0
"57",21,82,287,"Cultivated Crops",255,255,120,1,1,0.470588,64,0
"58",22,100,136,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,30,0
"59",23,101,12777,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,2842,0
"60",24,102,45297,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,10074,0
"61",25,103,167791,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,37316,0
"62",26,104,239699,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,53308,0
"63",27,105,485426,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,107956,0
"64",50,128,59,"Tree Height = 28 meters",71,150,45,0.278431,0.588235,0.176471,13,0
"65",60,138,34723,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,7722,0
"66",66,202,116,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,26,0
"67",67,203,20539,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,4568,0
"68",68,204,10249,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,2279,0
"69",69,205,130581,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,29041,0
"70",70,206,293884,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,65358,0
"71",71,207,185107,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,41167,0
"72",72,208,595837,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,132511,0
"73",73,209,228973,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,50922,0
"74",74,210,312002,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,69388,0
"75",75,211,280898,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,62470,0
"76",76,212,385343,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,85698,0
"77",77,213,391847,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,87145,0
"78",83,219,601396,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,133747,0
"79",85,221,355191,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,78993,0
"80",86,222,320382,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,71251,0
"81",87,223,190740,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,42420,0
"82",88,224,179460,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,39911,0
"83",89,225,86647,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,19270,0
