OID_,Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
2,-1111,8829.000000000000000,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,111,111,111,0.435294000000000,0.435294000000000,0.435294000000000
3,11,36468107.000000000000000,11,0,0,Open Water,Open Water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000
5,31,111267.000000000000000,31,0,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000
1120,1527,5018.000000000000000,14730,45,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,46,-9999,54,III-A,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
1122,1529,2129.000000000000000,14800,45,14800_45_98,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,994,-9999,681,404,41,-9999,59,V-A,102,212,179,0.400000000000000,0.831373000000000,0.701961000000000
1126,1561,22320177.000000000000000,13022,50,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1127,1562,14406012.000000000000000,13022,50,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000
1128,1563,2558887.000000000000000,13100,50,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,123,49,76,24,20,48,32,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1129,1564,274025.000000000000000,13110,50,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,104,98,19,14,14,14,72,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000
1130,1565,907654.000000000000000,13130,50,13130_47_50_51,North-Central Interior Beech-Maple Forest,Hardwood,1004,-9999,836,456,45,-9999,55,V-A,0,156,44,0.000000000000000,0.611765000000000,0.172549000000000
1131,1566,7653823.000000000000000,13140,50,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1132,1568,1045537.000000000000000,13651,50,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1133,1569,2410684.000000000000000,13660,50,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,483,1018,291,154,32,15,53,III-B,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000
1134,1570,33054824.000000000000000,13940,50,13940_50_51,North-Central Interior Oak Savanna,Hardwood,66,184,5,5,7,3,90,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1135,1571,2977965.000000000000000,13950,50,13950_50,North-Central Oak Barrens,Hardwood,53,143,6,5,9,4,87,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000
1136,1572,1965994.000000000000000,14071,50,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000
1137,1573,1047235.000000000000000,14072,50,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,25,46,18,8,34,18,48,I-B,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000
1138,1574,69849.000000000000000,14090,50,14090_50_64,Great Lakes Alvar,Conifer,439,3247,-9999,387,88,12,-9999,V-A,227,235,117,0.890196000000000,0.921569000000000,0.458824000000000
1139,1575,2198919.000000000000000,14120,50,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1140,1576,7488384.000000000000000,14210,50,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,232,255,196,0.909804000000000,1.000000000000000,0.768627000000000
1141,1577,56467.000000000000000,14440,50,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,-9999,581,312,203,-9999,35,65,V-A,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000
1142,1578,183996.000000000000000,14660,50,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,3715,536,-9999,468,13,87,-9999,V-A,181,0,0,0.709804000000000,0.000000000000000,0.000000000000000
1143,1579,1401794.000000000000000,14710,50,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1144,1580,815690.000000000000000,14750,50,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,-9999,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1145,1581,9075955.000000000000000,14770,50,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1146,1582,1505040.000000000000000,14790,50,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1147,1583,5206168.000000000000000,14810,50,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000
1148,1584,277054.000000000000000,14920,50,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000
1149,1585,1322656.000000000000000,14930,50,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000
